VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2000,2000,12.03,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2001,2001,12.25,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2002,2002,10.06,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2003,2003,10.67,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2004,2004,10.82,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2005,2005,10.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2006,2006,11.09,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2007,2007,11.35,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2008,2008,11.53,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2009,2009,11.87,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2010,2010,12.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2011,2011,12.25,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2012,2012,12.86,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2013,2013,12.81,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2014,2014,12.15,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2015,2015,12.51,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NLD,Netherlands,2016,2016,11.67,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2002,2002,18.8,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2003,2003,19.34,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2004,2004,19.59,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2005,2005,19.56,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2006,2006,19.52,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2007,2007,19.18,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2008,2008,18.6,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2009,2009,19.84,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2010,2010,19.63,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2011,2011,19.45,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2012,2012,18.5,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2013,2013,18.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2014,2014,18.03,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2015,2015,19,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2016,2016,19.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),NOR,Norway,2017,2017,19.21,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2005,2005,7.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2006,2006,7.02,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2007,2007,7.39,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2008,2008,7.19,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2009,2009,7.49,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2010,2010,7.69,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2011,2011,7.44,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2012,2012,7.44,,
